repo,ecosystem,language,stars,months_since_push,total_ghsa,fixed_ghsa,fix_coverage_pct,packages
vyperlang/vyper,pypi,Python,5185,0.1,44,39,89,vyper
free5gc/free5gc,Go,Go,2300,0.2,44,23,52,"github.com/free5gc/amf, github.com/free5gc/ausf, github.com/free5gc/bsf, github.com/free5gc/chf, github.com/free5gc/free5gc, github.com/free5gc/nef, github.com/free5gc/nrf, github.com/free5gc/nssf, gi"
openstack/nova,pypi,Python,3201,0.0,43,40,93,"Nova, cinder, glance, nova, python-keystoneclient"
strapi/strapi,npm,TypeScript,72305,0.0,42,37,88,"@strapi/admin, @strapi/content-type-builder, @strapi/core, @strapi/database, @strapi/plugin-content-manager, @strapi/plugin-content-type-builder, @strapi/plugin-email, @strapi/plugin-upload, @strapi/p"
star7th/showdoc,packagist,PHP,12821,0.0,42,35,83,showdoc/showdoc
apache/activemq,Maven,Java,2432,0.0,41,41,100,"org.apache.activemq:activemq-all, org.apache.activemq:activemq-broker, org.apache.activemq:activemq-client, org.apache.activemq:activemq-core, org.apache.activemq:activemq-jaas, org.apache.activemq:ac"
bytecodealliance/wasmtime,"crates.io, pypi",Rust,18126,0.0,41,41,100,"cranelift-codegen, wasmtime, wasmtime-jit-debug, wasmtime-wasi"
zitadel/zitadel,Go,Go,13939,0.0,40,40,100,"github.com/zitadel/zitadel, github.com/zitadel/zitadel/v2"
langchain-ai/langchain,pypi,Python,138453,0.0,40,37,92,"langchain, langchain-community, langchain-core, langchain-experimental, langchain-openai, langchain-text-splitters, numexpr"
froxlor/froxlor,packagist,PHP,1739,0.2,39,39,100,froxlor/froxlor
apache/camel,Maven,Java,6218,0.0,37,37,100,"org.apache.camel:camel, org.apache.camel:camel-ahc, org.apache.camel:camel-cassandraql, org.apache.camel:camel-castor, org.apache.camel:camel-coap, org.apache.camel:camel-consul, org.apache.camel:came"
cilium/cilium,Go,Go,24442,0.0,37,37,100,"Ciliumgithub.com/cilium/cilium, github.com/cilium/cilium, github.com/cilium/hubble, github.com/edgelesssys/constellation/v2"
moby/moby,Go,Go,71619,0.0,36,36,100,"github.com/containerd/containerd, github.com/docker/docker, github.com/moby/moby, github.com/moby/moby/v2, github.com/vbatts/tar-split"
aio-libs/aiohttp,pypi,Python,16440,0.0,36,35,97,aiohttp
dnnsoftware/Dnn.Platform,NuGet,C#,1131,0.0,36,34,94,"DNN.PLATFORM, Dnn.Platform, DotNetNuke.Core, DotNetNuke.SiteExportImport, DotNetNuke.Web"
snipe/snipe-it,"npm, packagist",PHP,13882,0.0,36,31,86,"select2, snipe/snipe-it"
WeblateOrg/weblate,"RubyGems, pypi",Python,5897,0.0,35,35,100,"Weblate, csv-safe, weblate"
bcgit/bc-java,"Maven, NuGet",Java,2648,0.0,35,34,97,"BouncyCastle, BouncyCastle.Cryptography, bouncycastle:bcprov-jdk14, bouncycastle:bcprov-jdk15, bouncycastle:bcprov-jdk16, org.bouncycastle:bc-fips, org.bouncycastle:bcpg-jdk12, org.bouncycastle:bcpg-j"
answerdev/answer,Go,Go,15543,0.0,34,34,100,github.com/answerdev/answer
opencv/opencv-python,pypi,Python,5275,3.9,34,32,94,"opencv-contrib-python, opencv-contrib-python-headless, opencv-python, opencv-python-headless"
spring-projects/spring-security,Maven,Java,9525,0.0,33,33,100,"org.springframework.security:spring-security-aspects, org.springframework.security:spring-security-bom, org.springframework.security:spring-security-config, org.springframework.security:spring-securit"
apache/nifi,Maven,Java,6108,0.0,33,33,100,"org.apache.nifi.registry:nifi-registry-core, org.apache.nifi:nifi, org.apache.nifi:nifi-asana-processors, org.apache.nifi:nifi-ccda-processors, org.apache.nifi:nifi-cdc-mysql-bundle, org.apache.nifi:n"
axios/axios,"npm, packagist",JavaScript,109092,0.0,33,33,100,"@lightdash/cli, @usebruno/cli, axios, solspace/craft-freeform"
